4.525	3.220
4.525	3.306
4.525	3.393
4.525	3.480
4.525	3.566
4.525	3.653
4.575	3.047
4.550	3.090
4.575	3.133
4.550	3.177
4.575	3.220
4.550	3.263
4.575	3.306
4.550	3.350
4.575	3.393
4.550	3.436
4.575	3.480
4.550	3.523
4.575	3.566
4.550	3.610
4.575	3.653
4.550	3.696
4.575	3.739
4.550	3.783
4.575	3.826
4.575	3.913
4.625	2.873
4.625	2.960
4.600	3.003
4.625	3.047
4.600	3.090
4.625	3.133
4.600	3.177
4.625	3.220
4.600	3.263
4.625	3.306
4.600	3.350
4.625	3.393
4.600	3.436
4.625	3.480
4.600	3.523
4.625	3.566
4.600	3.610
4.625	3.653
4.600	3.696
4.625	3.739
4.600	3.783
4.625	3.826
4.600	3.869
4.625	3.913
4.600	3.956
4.625	3.999
4.675	2.787
4.650	2.830
4.675	2.873
4.650	2.917
4.675	2.960
4.650	3.003
4.675	3.047
4.650	3.090
4.675	3.133
4.650	3.177
4.675	3.220
4.650	3.263
4.675	3.306
4.650	3.350
4.675	3.393
4.650	3.436
4.675	3.480
4.650	3.523
4.675	3.566
4.650	3.610
4.675	3.653
4.650	3.696
4.675	3.739
4.650	3.783
4.675	3.826
4.650	3.869
4.675	3.913
4.650	3.956
4.675	3.999
4.650	4.043
4.675	4.086
4.725	2.700
4.700	2.744
4.725	2.787
4.700	2.830
4.725	2.873
4.700	2.917
4.725	2.960
4.700	3.003
4.725	3.047
4.700	3.090
4.725	3.133
4.700	3.177
4.725	3.220
4.700	3.263
4.725	3.306
4.700	3.350
4.725	3.393
4.700	3.436
4.725	3.480
4.700	3.523
4.725	3.566
4.700	3.610
4.725	3.653
4.700	3.696
4.725	3.739
4.700	3.783
4.725	3.826
4.700	3.869
4.725	3.913
4.700	3.956
4.725	3.999
4.700	4.043
4.725	4.086
4.700	4.129
4.725	4.172
4.775	2.614
4.750	2.657
4.775	2.700
4.750	2.744
4.775	2.787
4.750	2.830
4.775	2.873
4.750	2.917
4.775	2.960
4.750	3.003
4.775	3.047
4.750	3.090
4.775	3.133
4.750	3.177
4.775	3.220
4.750	3.263
4.775	3.306
4.750	3.350
4.775	3.393
4.750	3.436
4.775	3.480
4.750	3.523
4.775	3.566
4.750	3.610
4.775	3.653
4.750	3.696
4.775	3.739
4.750	3.783
4.775	3.826
4.750	3.869
4.775	3.913
4.750	3.956
4.775	3.999
4.750	4.043
4.775	4.086
4.750	4.129
4.775	4.172
4.750	4.216
4.775	4.259
4.800	2.570
4.825	2.614
4.800	2.657
4.825	2.700
4.800	2.744
4.825	2.787
4.800	2.830
4.825	2.873
4.800	2.917
4.825	2.960
4.800	3.003
4.825	3.047
4.800	3.090
4.825	3.133
4.800	3.177
4.825	3.220
4.800	3.263
4.825	3.306
4.800	3.350
4.825	3.393
4.800	3.436
4.825	3.480
4.800	3.523
4.825	3.566
4.800	3.610
4.825	3.653
4.800	3.696
4.825	3.739
4.800	3.783
4.825	3.826
4.800	3.869
4.825	3.913
4.800	3.956
4.825	3.999
4.800	4.043
4.825	4.086
4.800	4.129
4.825	4.172
4.800	4.216
4.825	4.259
4.800	4.302
4.825	4.346
4.875	2.527
4.850	2.570
4.875	2.614
4.850	2.657
4.875	2.700
4.850	2.744
4.875	2.787
4.850	2.830
4.875	2.873
4.850	2.917
4.875	2.960
4.850	3.003
4.875	3.047
4.850	3.090
4.875	3.133
4.850	3.177
4.875	3.220
4.850	3.263
4.875	3.306
4.850	3.350
4.875	3.393
4.850	3.436
4.875	3.480
4.850	3.523
4.875	3.566
4.850	3.610
4.875	3.653
4.850	3.696
4.875	3.739
4.850	3.783
4.875	3.826
4.850	3.869
4.875	3.913
4.850	3.956
4.875	3.999
4.850	4.043
4.875	4.086
4.850	4.129
4.875	4.172
4.850	4.216
4.875	4.259
4.850	4.302
4.875	4.346
4.850	4.389
4.875	4.432
4.925	2.440
4.900	2.484
4.925	2.527
4.900	2.570
4.925	2.614
4.900	2.657
4.925	2.700
4.900	2.744
4.925	2.787
4.900	2.830
4.925	2.873
4.900	2.917
4.925	2.960
4.900	3.003
4.925	3.047
4.900	3.090
4.925	3.133
4.900	3.177
4.925	3.220
4.900	3.263
4.925	3.306
4.900	3.350
4.925	3.393
4.900	3.436
4.925	3.480
4.900	3.523
4.925	3.566
4.900	3.610
4.925	3.653
4.900	3.696
4.925	3.739
4.900	3.783
4.925	3.826
4.900	3.869
4.925	3.913
4.900	3.956
4.925	3.999
4.900	4.043
4.925	4.086
4.900	4.129
4.925	4.172
4.900	4.216
4.925	4.259
4.900	4.302
4.925	4.346
4.900	4.389
4.925	4.432
4.900	4.476
4.950	2.397
4.975	2.440
4.950	2.484
4.975	2.527
4.950	2.570
4.975	2.614
4.950	2.657
4.975	2.700
4.950	2.744
4.975	2.787
4.950	2.830
4.975	2.873
4.950	2.917
4.975	2.960
4.950	3.003
4.975	3.047
4.950	3.090
4.975	3.133
4.950	3.177
4.975	3.220
4.950	3.263
4.975	3.306
4.950	3.350
4.975	3.393
4.950	3.436
4.975	3.480
4.950	3.523
4.975	3.566
4.950	3.610
4.975	3.653
4.950	3.696
4.975	3.739
4.950	3.783
4.975	3.826
